Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF/16V","CP_Radial_D6.3mm_P2.50mm",138.000000,-55.000000,0.000000,top
"C2","10uF","C_0805_2012Metric",138.000000,-13.000000,0.000000,top
"C3","22uF","C_0805_2012Metric",138.000000,-17.000000,0.000000,top
"C4","10uF","C_0805_2012Metric",146.500000,-42.500000,0.000000,top
"C5","100nF","C_0805_2012Metric",146.500000,-45.000000,0.000000,top
"C6","1uF","C_0805_2012Metric",146.500000,-47.500000,0.000000,top
"C7","100nF","C_0805_2012Metric",134.500000,-47.000000,0.000000,top
"C8","100nF","C_0805_2012Metric",81.000000,-40.000000,0.000000,top
"C9","100nF","C_0805_2012Metric",81.000000,-60.000000,0.000000,top
"C10","100nF","C_0805_2012Metric",81.000000,-80.000000,0.000000,top
"C11","100nF","C_0805_2012Metric",81.000000,-98.000000,0.000000,top
"C16","100nF","C_0805_2012Metric",185.000000,-27.000000,0.000000,top
"D1","LED_Green","LED_D3.0mm",130.000000,-80.000000,0.000000,top
"D2","LED_Green","LED_D3.0mm",142.000000,-80.000000,0.000000,top
"D3","LED_Green","LED_D3.0mm",154.000000,-80.000000,0.000000,top
"D4","LED_Green","LED_D3.0mm",166.000000,-80.000000,0.000000,top
"D5","LED_Red","LED_D3.0mm",143.000000,-15.000000,0.000000,top
"F1","T4A","Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open",30.000000,-30.000000,0.000000,top
"F2","T4A","Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open",30.000000,-50.000000,0.000000,top
"F3","T4A","Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open",30.000000,-70.000000,0.000000,top
"F4","T4A","Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open",30.000000,-90.000000,0.000000,top
"J1A","AC_IN_1","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",10.000000,-30.000000,0.000000,top
"J1B","AC_IN_2","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",10.000000,-50.000000,0.000000,top
"J1C","AC_IN_3","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",10.000000,-70.000000,0.000000,top
"J1D","AC_IN_4","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",10.000000,-90.000000,0.000000,top
"J2A","LOAD_1","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",96.000000,-30.000000,180.000000,top
"J2B","LOAD_2","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",96.000000,-50.000000,180.000000,top
"J2C","LOAD_3","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",96.000000,-70.000000,180.000000,top
"J2D","LOAD_4","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",96.000000,-90.000000,180.000000,top
"J3","PROG","PinHeader_1x06_P2.54mm_Vertical",195.000000,-70.000000,-90.000000,top
"J4","LCD I2C","PinHeader_1x04_P2.54mm_Vertical",165.000000,-12.000000,90.000000,top
"J5","V_SENSE_1","PinHeader_1x03_P2.54mm_Vertical",193.000000,-30.000000,-90.000000,top
"J6","V_SENSE_2","PinHeader_1x03_P2.54mm_Vertical",193.000000,-35.000000,-90.000000,top
"J7","V_SENSE_3","PinHeader_1x03_P2.54mm_Vertical",193.000000,-40.000000,-90.000000,top
"J8","V_SENSE_4","PinHeader_1x03_P2.54mm_Vertical",193.000000,-45.000000,-90.000000,top
"K1","SRD-05VDC-SL-C","Relay_SPDT_SANYOU_SRD_Series_Form_C",61.000000,-30.000000,0.000000,top
"K2","SRD-05VDC-SL-C","Relay_SPDT_SANYOU_SRD_Series_Form_C",61.000000,-50.000000,0.000000,top
"K3","SRD-05VDC-SL-C","Relay_SPDT_SANYOU_SRD_Series_Form_C",61.000000,-70.000000,0.000000,top
"K4","SRD-05VDC-SL-C","Relay_SPDT_SANYOU_SRD_Series_Form_C",61.000000,-90.000000,0.000000,top
"PS1","HLK-PM01","HLK-PM01",12.000000,-6.000000,0.000000,top
"R1","1k","R_0805_2012Metric",130.000000,-75.000000,0.000000,top
"R2","1k","R_0805_2012Metric",142.000000,-75.000000,0.000000,top
"R3","1k","R_0805_2012Metric",154.000000,-75.000000,0.000000,top
"R4","1k","R_0805_2012Metric",166.000000,-75.000000,0.000000,top
"R5","10k","R_0805_2012Metric",130.000000,-86.000000,0.000000,top
"R6","10k","R_0805_2012Metric",142.000000,-86.000000,0.000000,top
"R7","10k","R_0805_2012Metric",154.000000,-86.000000,0.000000,top
"R8","10k","R_0805_2012Metric",166.000000,-86.000000,0.000000,top
"R9","1k","R_0805_2012Metric",151.000000,-15.000000,180.000000,top
"R11","10k","R_0805_2012Metric",146.500000,-50.000000,0.000000,top
"R12","10k","R_0805_2012Metric",146.500000,-52.500000,0.000000,top
